country_name,year,agricultural_raw_materials_exports_pct,birth_rate_crude,debt_service_ppg_imf_pct_exports,exports_goods_services_current_usd,exports_to_china,external_debt_stocks_pct_gni,food_exports_pct,fuel_exports_pct,gdp_current_usd,gdp_growth_annual_pct,gdp_per_capita_current_usd,imports_from_china,imports_goods_services_current_usd,labor_force_participation_rate,ores_metals_exports_pct,population_growth_annual_pct,population_total,port_container_throughput,realised_fdi_from_china,log_gdp_current_usd,log_population_total,log_gdp_per_capita_current_usd,log_port_container_throughput,exports_to_china_usd,imports_from_china_usd,china_export_share,china_import_share,china_total_trade_share,china_trade_balance_ratio,development_index,market_size_index,growth_demographic_index,debt_vulnerability_index,commodity_export_index,china_exposure_index_no_teu,china_exposure_index_with_teu
Cambodia,2013,3.552546195,24.56,1.115847462,10537592348.0,36363.5,40.14210513,5.840878799,0.000907739,19807135253.0,7.857499755,1305.660097,340950.7,12470204824.0,80.219,0.24245729,1.49510213,15170208.0,286450.0,2251.0,23.709308076043687,16.534844062502962,7.1744640133281825,12.565319279836723,363635000.0,3409507000.0,0.03450835712666534,0.27341226933483126,0.1639940569622125,-0.8072508270295684,-2.0178530768477168,-1.3115928720317185,1.5116744883952222,-0.4817218444297648,-0.8480416290782549,-0.8320827831860066,-2.275867889794056
Cambodia,2014,3.787027078,24.403,1.092716497,11979344824.0,48291.4653,39.41284306,5.267180557,3.21e-07,22041463968.0,8.000320746,1431.563965,327473.7955,14105741942.0,80.293,0.259411641,1.482437252,15396772.0,330000.0,312.0,23.81619124225569,16.54966843502292,7.266522807437883,12.706847933442663,482914653.00000006,3274737955.0,0.04031227584604673,0.23215637776907233,0.14405367487210452,-0.7429700382776843,-1.8476079559914336,-1.2649770256769497,1.5253385824992565,-0.49913279586244264,-0.8306937405392029,-1.0952132641189931,-2.3419238858946847
Cambodia,2015,2.131684022,24.218,1.00178003,13291033923.0,66659.5,40.72301425,4.769863159,2.94e-05,24174170369.0,7.207034725,1547.320104,376339.1,15527540570.0,79.603,0.124488904,1.46023763,15623251.0,392000.0,1000.0,23.90855055997198,16.56427081132144,7.34427974836669,12.8790171187726,666595000.0,3763391000.0,0.0501537355078497,0.2423687758556602,0.15371981709491003,-0.6990532249989052,-1.7038113754054978,-1.2238722354553129,1.3690064197494314,-0.47981077018156276,-1.1841095285239316,-0.9676091436534493,-2.171928591850327
Cambodia,2016,2.039285631,23.956,1.268513922,14305832075.0,83051.3,39.45395846,4.508955391,0.007714306,26556545153.0,7.905501161,1675.195557,393015.5,16549913895.0,81.735,0.127397851,1.458607676,15852803.0,400187.0,,24.002542076023104,16.57885688807812,7.423685187892125,12.89968721684604,830513000.0,3930155000.0,0.05805415551125851,0.23747283671290664,0.15428789194170306,-0.6510939221134513,-1.556966212166177,-1.1821670567950213,1.5685907720288677,-0.48240249080861053,-1.2150415970019903,-0.958890345319685,-2.141205775358523
Cambodia,2017,2.859660611,23.655,1.304566666,15831866523.0,100758.2,40.52473724,4.777133392,5.14e-06,29355665910.0,8.075039155,1826.353917,478319.8,18246676110.0,81.409,0.281044133,1.381765961,16073372.0,459835.0,1505.0,24.10275141092678,16.59267454768711,7.51007686329411,13.03862300846643,1007582000.0,4783198000.0,0.06364265379171931,0.2621407850484392,0.16992452002312125,-0.6520047385671706,-1.3972013427473853,-1.1384991650284366,1.519581357804201,-0.45664933218501974,-1.0363484840666075,-0.7513814470531062,-1.9517891449321498
Cambodia,2018,2.207479049,23.372,1.400040849,18413935868.0,137665.5,42.57902232,5.154066325,0.000711772,33145892169.0,8.776223762,2036.673776,600752.3,21862726323.0,81.911,0.2739504,1.243682774,16274522.0,537107.0,199.0,24.224184629429413,16.605111375427903,7.61907325416247,13.193952608763379,1376655000.0,6007523000.0,0.0747615832849929,0.2747837992044008,0.1833363937900998,-0.627133852948832,-1.1956333783205364,-1.0875612018814091,1.539283031450719,-0.4048676754071949,-1.1451169740612384,-0.5993049613365847,-1.7735915373922717
Cambodia,2019,1.685827438,22.988,1.433610263,21072422248.0,144432.3229,43.84206047,4.586075048,6.86e-06,36685356408.0,7.936950136,2225.877055,798153.0879,25515540745.0,82.422,0.488076414,1.26258301,16481304.0,639211.0,5755.0,24.325643504425678,16.61773720552888,7.707906298953489,13.367989882297392,1444323229.0,7981530879.0,0.06854092101998771,0.3128105713598899,0.20232380860730628,-0.6935400840176043,-1.0313536634629086,-1.0439754164144122,1.4670405626861358,-0.37529888252223875,-1.269303026346695,-0.36159438577442815,-1.5758524677162118
Cambodia,2020,1.729230804,22.409,1.677347947,20822677353.0,149748.6585,52.18809961,4.453972221,2.05e-06,34818073901.0,-3.555721934,2081.739142,805448.9807,23090657075.0,82.238,0.558161546,1.470629886,16725474.0,641842.0,3761.0,24.273402453874798,16.63244350438415,7.640958949298315,13.372097446464064,1497486585.0,8054489807.0,0.07191614025485785,0.34882029475551424,0.21751881328122225,-0.6864551327295617,-1.1551599738027045,-1.05667605372835,0.07813216520064706,-0.17793320587849235,-1.2653018387533186,-0.08516899709260063,-1.4159356046063687
Cambodia,2021,2.647438708,21.905,1.926061874,20178241057.0,210043.0,56.79893866,5.330390152,0.00011284,36790163687.0,3.089842841,2167.403242,1156509.0,32815908352.0,79.51,1.179182601,1.476778362,16974305.0,732387.0,3369.0,24.328496355278528,16.647211288008272,7.681285067289197,13.504064341761499,2100430000.0,11565090000.0,0.10409381045982416,0.35242327824502084,0.2578684657155604,-0.692594207904273,-1.080584536470324,-1.0293739519426495,0.8285066425173487,-0.05860262982999631,-1.0217520990060949,0.11884959744301374,-1.1765730133020045
Cambodia,2022,2.167538908,21.279,1.81491673,25496861981.0,183820.0,58.45821117,4.786338447,3.39e-06,39994532960.0,5.129901108,2325.0305,1393798.0,34758832300.0,82.338,1.116982748,1.330888131,17201724.0,,5217.0,24.412008605719333,16.660520169318875,7.7514884362149825,,1838200000.0,13937980000.0,0.07209514650743326,0.4009910309904168,0.26182056630910966,-0.7669651335114077,-0.9507568416490513,-0.9921582232849654,1.1383630773712592,-0.033769178352989704,-1.1451840329198486,0.28922086924608786,-0.08511173353740954
Cambodia,2023,2.352918844,20.752,1.807010896,27752544025.0,207030.0,54.4507095,7.812896754,3.69e-06,42335646896.0,5.007330438,2429.748535,1275200.0,29420704837.0,82.348,2.399947791,1.283206776,17423880.0,,5915.0,24.46889528433019,16.67335223707882,7.795543047440709,,2070300000.0,12752000000.0,0.07459856646421445,0.4334362507849526,0.25925236531121093,-0.7206506412635016,-0.8692862696636855,-0.9650776171393094,1.0883933869067275,-0.1186885508436,-0.9154896430314124,0.5353053876560484,0.054516925331761654
Cambodia,2024,2.596023669,20.309,,31718256262.0,249891.0,46.11140463,15.22935987,0.001242881,46352647037.0,5.975109396,2627.879698,1532558.0,34329032394.0,82.373,2.323848625,1.225939863,17638801.0,,270.0,24.559544237079464,16.685611635711275,7.873932601539959,,2498910000.0,15325580000.0,0.07878459582892691,0.44643204108131496,0.2698746665110946,-0.7196093689076097,-0.7243197920929042,-0.9256860659026935,1.1773460115648122,0.07794765338873365,-0.4947346501861246,0.6515056425317292,0.12667252786858452
Indonesia,2013,5.855540025,19.643,5.59809288,205000000000.0,3142426.2,29.78187008,17.49567868,31.44082849,913000000000.0,5.557263689,3566.602845,3693048.7,211000000000.0,66.757,7.030949146,1.240380016,255852467.0,11435324.0,12623.0,27.54000171754138,19.360111535537463,8.179368837696556,16.252217719099708,31424262000.0,36930487000.0,0.15328908292682927,0.1750260047393365,0.16431430048076923,-0.08055365692294474,-0.15947392982357783,1.4128558566996252,0.3421904072587695,-0.2948719690702599,1.5218539335558745,-0.8783336487931143,-0.34419546631244025
Indonesia,2014,4.940893221,19.091,14.10690602,199000000000.0,2448524.6982,33.98183415,20.10336398,29.04285462,891000000000.0,5.006668426,3441.068085,3905960.5524,202000000000.0,66.624,4.734889242,1.175360912,258877399.0,10938117.0,7802.0,27.51561026441722,19.371865144657846,8.143537192001034,16.207764219485515,24485246982.0,39059605524.0,0.12304144212060301,0.1933643837821782,0.15846596634912719,-0.22935545472583901,-0.2257377008289256,1.4091708529605282,0.2156278960095406,0.5613306417770774,1.3178127410774325,-0.9146223209716985,-0.44731503418717833
